PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingAuthorEmail
40122663,Magnolol inhibits appetite and causes visceral fat loss through Growth/differentiation factor-15 (GDF-15) by activating transcription factor 4-CCAAT enhancer binding protein γ-mediated endoplasmic reticulum stress responses.,23/03/2025,,,
40122660,Saponins from Aralia taibaiensis protect against brain ischemia/reperfusion injuries by regulating the apelin/AMPK pathway.,23/03/2025,"Tao, Hu, Li","Department of Pharmacy, Xijing Hospital, Fourth Military Medical University, Xi'an 710032, China., Department of Pharmacy, General Hospital of Xinjiang Production and Construction Corps, Urumqi 830092, China., Department of Pharmacy, Xijing Hospital, Fourth Military Medical University, Xi'an 710032, China.",
40122584,Associations Between Type of Hemodialysis Access and Pulmonary Hypertension: A Single-Center Retrospective Cohort.,Unknown-Unknown-Unknown,,,
40122579,Simultaneous inhibition of fibroblast growth factor-2 and vascular endothelial growth factor-a with RC28-E in diabetic macular edema: a phase 2 randomised trial.,Unknown-Unknown-Unknown,,,
40122567,Secular trends in types of cardiovascular disease in the West of Scotland.,23/03/2025,,,
40122561,Risk factors for delayed graft function in patients with kidney transplantation: a systematic review and meta-analysis.,23/03/2025,,,
40122472,"Discovery of DS-1150b, a novel xanthene compound for activating GLUT4 translocation.",Unknown-Unknown-Unknown,,,
40122442,"Exploring the functional, protective, and transcriptomic effects of GIP on cytokine-exposed human pancreatic islets and EndoC-βH5 cells.",Unknown-Unknown-Unknown,,,
40122398,Mitophagy in Alzheimer's disease and other metabolic disorders: a focus on mitochondrial-targeted therapeutics.,Unknown-Unknown-Unknown,"Skawratananond, Zhang, Smith, Reddy","Department of Internal Medicine, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA; Department of Pharmacology and Neuroscience, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA. Electronic address: Shadt.Skawratananond@ttuhsc.edu., Department of Pharmacology and Neuroscience, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA; Department of Biology, Texas Tech University, Lubbock, TX 79401, USA; Honors College, Texas Tech University, Lubbock, TX 79401. Electronic address: charzhan@ttu.edu., Department of Pharmacology and Neuroscience, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA. Electronic address: Shane.C.Smith@ttuhsc.edu., Department of Internal Medicine, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA; Department of Pharmacology and Neuroscience, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA; Nutritional Sciences Department, College Human Sciences, Texas Tech University, Lubbock, TX 79409, USA; Department of Neurology, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA; Department of Public Health, Graduate School of Biomedical Sciences, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA; Department of Speech, Language, and Hearing Sciences, Texas Tech University Health Sciences Center, Lubbock, TX 79430, USA. Electronic address: Hemachandra.Reddy@ttuhsc.edu.",
40122337,Urea-to-creatinine ratio as a biomarker for clinical outcome and response to nutritional support in non-critically ill patients: A secondary analysis of a randomized controlled trial.,Unknown-Unknown-Unknown,,,
